"경상북도",울릉도,13,11,9,7,8,7
"경상북도",포항,23,20,17,15,16,14
"경상북도",구미,25,22,19,17,17,14
"경상북도",김천,26,22,16,13,12,13*
"경상북도",경주,25,23,18,17,16,11
"경상북도",안동,22,20,15,12,11,14
"경상북도",영주,30,24,17,14,14,15
"경상북도",경산,24,18,17,16,18,14
"경상북도",상주,26,23,19,19,13,12
"경상북도",칠곡,27,24,20,17,18,14
"경상북도",울진,20,21,14,11,10,8
"경상북도",봉화,19**,16**,14**,11**,12*,11
"경상북도",고령,23,20,17,14,16,15
"경상북도",군위,16,14,10,8,-,-
"경상북도",성주,29,23,18,13,14,14
"경상북도",예천,24,21,18,17,17,15
"경상북도",청도,23,19,17,14,12,11
"경상북도",청송,18,17,12,11,11,10
"경상북도",영양,21,19,14,12,10,8
"경상북도",문경,24,20,14,14,11,10
"경상북도",도평균,24,20,17,15,15,13
"경상남도",창원,22,18,16,14,14,13
"경상남도",진주,22,17,16,13,14,13
"경상남도",하동,20,15,16,13,16,14
"경상남도",김해,22,17,16,15,15,12
"경상남도",양산,22,16,16,15,15,12
"경상남도",거제,18,15,14,11,11,10
"경상남도",사천,18,16,13,10,10,8**
"경상남도",밀양,20,18,15,13,12,9
"경상남도",통영,25,21,18,12,12,13
"경상남도",고성,21,17,15,10,10,10
"경상남도",거창,26,18,16,12,12,13
"경상남도",함안,20,17,14,11,11,11
"경상남도",함양,27,20,15,11,12,12
"경상남도",남해,22,19,16,11,10,12
"경상남도",산청,20,15,-,-,-,12
"경상남도",의령,21,18,17,14,16,14
"경상남도",창녕,21,17,17,15,17,14
"경상남도",합천,25,19,19,17,20,17
"경상남도",도평균,22,17,16,13,14,12
"제주특별자치도",제주,23,19,14,11,8,9
"제주특별자치도",서귀포,20,16,13,12,11,12
"제주특별자치도",도평균,22,18,14,11,10,11
